,rec_id,locus_tag,protein_id,gene,start,end,strand,pseudo,product,db_xref,EC_number,old_locus_tag,inference,dup_id
CDS_CP065453.1_124800_124986_neg,CP065453.1,I5M60_00650,QPP59745.1,,124800,124986,neg,,general stress protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005227107.1,111
CDS_CP065453.1_1328563_1328995_pos,CP065453.1,I5M60_06490,QPP60799.1,,1328563,1328995,pos,,Arc family DNA-binding protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_002211706.1,83
CDS_CP065453.1_878235_879339_pos,CP065453.1,I5M60_04410,QPP60415.1,,878235,879339,pos,,phosphotransferase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005227807.1,32
CDS_CP065453.1_4622460_4622784_pos,CP065453.1,I5M60_22630,QPP58911.1,,4622460,4622784,pos,,DUF968 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004250550.1,91
CDS_CP065455.1_57622_58828_pos,CP065455.1,I5M60_27955,QPP62612.1,,57622,58828,pos,,IS4 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_014610916.1,26
CDS_CP065453.1_329092_330514_pos,CP065453.1,I5M60_01705,QPP59942.1,,329092,330514,pos,,FAD-binding oxidoreductase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005227325.1,15
CDS_CP065453.1_562740_563634_neg,CP065453.1,I5M60_02870,QPP60146.1,,562740,563634,neg,,SUMF1/EgtB/PvdO family nonheme iron enzyme,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005227563.1,55
CDS_CP065455.1_0_1099_pos,CP065455.1,I5M60_27575,QPP62533.1,,0,1099,pos,,TonB-dependent receptor,,,,COORDINATES: similar to AA sequence:RefSeq:WP_015965681.1,33
CDS_CP065453.1_4334691_4335417_pos,CP065453.1,I5M60_21270,QPP58658.1,,4334691,4335417,pos,,histidine utilization repressor,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005225920.1,57
CDS_CP065453.1_4614588_4614747_pos,CP065453.1,I5M60_22555,QPP62289.1,,4614588,4614747,pos,,adenylate cyclase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_016197573.1,112
CDS_CP065453.1_5103440_5104229_pos,CP065453.1,I5M60_25150,QPP59368.1,paaB,5103440,5104229,pos,,"2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase",,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226675.1,56
CDS_CP065453.1_4446997_4447213_pos,CP065453.1,I5M60_21785,QPP58755.1,,4446997,4447213,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226026.1,104
CDS_CP065453.1_561663_562557_neg,CP065453.1,I5M60_02860,QPP60145.1,,561663,562557,neg,,SUMF1/EgtB/PvdO family nonheme iron enzyme,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005227563.1,55
CDS_CP065453.1_4440734_4441760_neg,CP065453.1,I5M60_21750,QPP58748.1,,4440734,4441760,neg,,phage portal protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226019.1,126
CDS_CP065456.1_1055_1931_neg,CP065456.1,I5M60_28035,QPP62614.1,,1055,1931,neg,,class A extended-spectrum beta-lactamase CTX-M-14,,,,COORDINATES: similar to AA sequence:RefSeq:WP_032492044.1,49
CDS_CP065453.1_4458998_4459514_pos,CP065453.1,I5M60_21875,QPP58771.1,,4458998,4459514,pos,,phage major tail tube protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226044.1,78
CDS_CP065453.1_4447193_4447703_pos,CP065453.1,I5M60_21790,QPP58756.1,,4447193,4447703,pos,,lysozyme,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226027.1,80
CDS_CP065454.1_119282_120251_neg,CP065454.1,I5M60_27210,QPP62462.1,,119282,120251,neg,,IS5-like element IS903B family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076611102.1,37
CDS_CP065453.1_4624676_4625129_pos,CP065453.1,I5M60_22660,QPP58916.1,,4624676,4625129,pos,,DNA-packaging protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_009308352.1,81
CDS_CP065453.1_1492384_1492957_neg,CP065453.1,I5M60_07330,QPP60955.1,,1492384,1492957,neg,,phage baseplate assembly protein V,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004150994.1,73
CDS_CP065453.1_1321311_1322910_neg,CP065453.1,I5M60_06435,QPP60790.1,,1321311,1322910,neg,,hypothetical protein,,,,COORDINATES: ab initio prediction:GeneMarkS-2+,11
CDS_CP065453.1_771381_771663_neg,CP065453.1,I5M60_03955,QPP62132.1,,771381,771663,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001760470.1,94
CDS_CP065453.1_5056687_5057002_neg,CP065453.1,I5M60_24930,QPP59326.1,,5056687,5057002,neg,,hypothetical protein,,,,COORDINATES: ab initio prediction:GeneMarkS-2+,92
CDS_CP065453.1_4816031_4817519_pos,CP065453.1,I5M60_23670,QPP59091.1,ltrA,4816031,4817519,pos,,group II intron reverse transcriptase/maturase,,2.7.7.49,,COORDINATES: similar to AA sequence:RefSeq:YP_005226014.1,13
CDS_CP065453.1_3173803_3175167_neg,CP065453.1,I5M60_15645,QPP57637.1,,3173803,3175167,neg,,IS3-like element ISKpn1 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076611151.1,19
CDS_CP065453.1_4849300_4850664_pos,CP065453.1,I5M60_23835,QPP59123.1,,4849300,4850664,pos,,IS3-like element ISKpn1 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076611151.1,19
CDS_CP065453.1_785010_786267_pos,CP065453.1,I5M60_04030,QPP60346.1,,785010,786267,pos,,tyrosine-type recombinase/integrase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_015365867.1,122
CDS_CP065453.1_5366589_5367627_pos,CP065453.1,I5M60_26470,QPP59619.1,,5366589,5367627,pos,,aldo/keto reductase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226955.1,34
CDS_CP065453.1_5035372_5035903_pos,CP065453.1,I5M60_24825,QPP59306.1,tli1,5035372,5035903,pos,,T6SS immunity phospholipase A1-binding lipoprotein Tli1-KP,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226606.1,76
CDS_CP065453.1_3386160_3387480_pos,CP065453.1,I5M60_16680,QPP57824.1,xylA,3386160,3387480,pos,,xylose isomerase,,5.3.1.5,,COORDINATES: similar to AA sequence:RefSeq:YP_005224866.1,120
CDS_CP065453.1_558536_558863_neg,CP065453.1,I5M60_02835,QPP60142.1,,558536,558863,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004180397.1,90
CDS_CP065453.1_5037168_5037699_pos,CP065453.1,I5M60_24840,QPP59309.1,tli1,5037168,5037699,pos,,T6SS immunity phospholipase A1-binding lipoprotein Tli1-KP,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226606.1,76
CDS_CP065453.1_1484941_1486114_neg,CP065453.1,I5M60_07295,QPP60948.1,,1484941,1486114,neg,,phage tail sheath protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226043.1,31
CDS_CP065453.1_3373370_3375704_pos,CP065453.1,I5M60_16620,QPP57816.1,,3373370,3375704,pos,,toprim domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005224853.1,6
CDS_CP065453.1_4638884_4640267_pos,CP065453.1,I5M60_22735,QPP62294.1,,4638884,4640267,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_016197574.1,21
CDS_CP065455.1_49883_51371_pos,CP065455.1,I5M60_27910,QPP62590.1,ltrA,49883,51371,pos,,group II intron reverse transcriptase/maturase,,2.7.7.49,,COORDINATES: similar to AA sequence:RefSeq:YP_005226014.1,13
CDS_CP065453.1_193169_193721_neg,CP065453.1,I5M60_00970,QPP59803.1,,193169,193721,neg,,adenylate kinase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005227174.1,72
CDS_CP065453.1_334528_335185_pos,CP065453.1,I5M60_01740,QPP59947.1,,334528,335185,pos,,CoA transferase subunit B,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005227332.1,60
CDS_CP065453.1_1491130_1492039_neg,CP065453.1,I5M60_07320,QPP60953.1,,1491130,1492039,neg,,baseplate assembly protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226037.1,52
CDS_CP065453.1_3365240_3366503_pos,CP065453.1,I5M60_16565,QPP57806.1,,3365240,3366503,pos,,integrase arm-type DNA-binding domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005224840.1,24
CDS_CP065453.1_1492025_1492388_neg,CP065453.1,I5M60_07325,QPP60954.1,,1492025,1492388,neg,,GPW/gp25 family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226036.1,89
CDS_CP065453.1_3271330_3271537_pos,CP065453.1,I5M60_16145,QPP57728.1,,3271330,3271537,pos,,DUF1107 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_015966176.1,105
CDS_CP065453.1_4459566_4459866_pos,CP065453.1,I5M60_21880,QPP58772.1,,4459566,4459866,pos,,phage tail assembly protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226045.1,98
CDS_CP065453.1_566485_567841_neg,CP065453.1,I5M60_02900,QPP60150.1,,566485,567841,neg,,S-type pyocin domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005227572.1,29
CDS_CP065453.1_4451183_4452092_pos,CP065453.1,I5M60_21835,QPP58765.1,,4451183,4452092,pos,,baseplate assembly protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226037.1,52
CDS_CP065453.1_1483930_1484050_neg,CP065453.1,I5M60_07280,QPP60945.1,,1483930,1484050,neg,,GpE family phage tail protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226046.1,116
CDS_CP065453.1_5365599_5365749_neg,CP065453.1,I5M60_26460,QPP59618.1,,5365599,5365749,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226954.1,113
CDS_CP065453.1_3372003_3372270_pos,CP065453.1,I5M60_16600,QPP57812.1,,3372003,3372270,pos,,AlpA family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005224849.1,97
CDS_CP065453.1_46739_47297_pos,CP065453.1,I5M60_00265,QPP59676.1,,46739,47297,pos,,helix-turn-helix transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005227025.1,67
