,locus_tag,protein_id,gene,start,end,strand,pseudo,product,db_xref,EC_number,old_locus_tag,inference
CDS_AP022509.1_100_1495_pos,STN0717ENT60_00010,BBW29078.1,dnaA,100,1495,pos,,chromosomal replication initiator protein DnaA,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_1499_2600_pos,STN0717ENT60_00020,BBW29079.1,,1499,2600,pos,,DNA polymerase III subunit beta,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_2599_3673_pos,STN0717ENT60_00030,BBW29080.1,recF,2599,3673,pos,,DNA replication and repair protein RecF,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_3701_6113_pos,STN0717ENT60_00040,BBW29081.1,gyrB,3701,6113,pos,,DNA gyrase subunit B,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_6146_7082_neg,STN0717ENT60_00050,BBW29082.1,,6146,7082,neg,,LysR family transcriptional regulator,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_7195_8221_pos,STN0717ENT60_00060,BBW29083.1,,7195,8221,pos,,alcohol dehydrogenase,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_8334_9147_pos,STN0717ENT60_00070,BBW29084.1,,8334,9147,pos,,sugar-phosphatase,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_9373_10063_pos,STN0717ENT60_00080,BBW29085.1,,9373,10063,pos,,GntR family transcriptional regulator,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_10059_10938_pos,STN0717ENT60_00090,BBW29086.1,,10059,10938,pos,,2-oxo-3-deoxygalactonate kinase,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_10921_11539_pos,STN0717ENT60_00100,BBW29087.1,,10921,11539,pos,,2-dehydro-3-deoxy-6-phosphogalactonate aldolase,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_11535_12684_pos,STN0717ENT60_00110,BBW29088.1,dgoD,11535,12684,pos,,D-galactonate dehydratase,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_12846_14139_pos,STN0717ENT60_00120,BBW29089.1,,12846,14139,pos,,MFS transporter,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_14190_15420_pos,STN0717ENT60_00130,BBW29090.1,,14190,15420,pos,,hypothetical protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_15416_15746_neg,STN0717ENT60_00140,BBW29091.1,,15416,15746,neg,,hypothetical protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_16064_16475_pos,STN0717ENT60_00150,BBW29092.1,ibpA,16064,16475,pos,,small heat shock protein IbpA,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_16611_17040_pos,STN0717ENT60_00160,BBW29093.1,ibpB,16611,17040,pos,,small heat shock protein IbpB,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_17231_18893_pos,STN0717ENT60_00170,BBW29094.1,,17231,18893,pos,,putative transport protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_18860_19607_neg,STN0717ENT60_00180,BBW29095.1,,18860,19607,neg,,GntR family transcriptional regulator,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_19829_21452_pos,STN0717ENT60_00190,BBW29096.1,,19829,21452,pos,,PTS alpha-glucoside transporter subunit IIBC,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_21448_22771_pos,STN0717ENT60_00200,BBW29097.1,,21448,22771,pos,,maltose-6'-phosphate glucosidase,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_22863_23211_pos,STN0717ENT60_00210,BBW29098.1,,22863,23211,pos,,membrane protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_23200_23548_pos,STN0717ENT60_00220,BBW29099.1,,23200,23548,pos,,membrane protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_23630_24917_neg,STN0717ENT60_00230,BBW29100.1,dsdA,23630,24917,neg,,D-serine dehydratase,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_24934_26272_neg,STN0717ENT60_00240,BBW29101.1,dsdX,24934,26272,neg,,D-serine transporter DsdX,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_26476_27403_pos,STN0717ENT60_00250,BBW29102.1,,26476,27403,pos,,DNA-binding transcriptional regulator DsdC,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_27487_28600_pos,STN0717ENT60_00260,BBW29103.1,,27487,28600,pos,,hypothetical protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_28478_29663_neg,STN0717ENT60_00270,BBW29104.1,,28478,29663,neg,,multidrug transporter EmrD,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_29838_30672_neg,STN0717ENT60_00280,BBW29105.1,,29838,30672,neg,,membrane protein,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
CDS_AP022509.1_30734_31181_neg,STN0717ENT60_00290,BBW29106.1,,30734,31181,neg,,N-acetyltransferase GCN5,,,,COORDINATES: ab initio prediction:Prodigal:2.6.3
