,locus_tag,protein_id,gene,start,end,strand,pseudo,product,db_xref,EC_number,old_locus_tag,inference
CDS_CP056460.1_0_1395_pos,HV217_00005,QLU69839.1,dnaA,0,1395,pos,,chromosomal replication initiator protein DnaA,,,,COORDINATES: similar to AA sequence:RefSeq:NP_462738.1
CDS_CP056460.1_1399_2500_pos,HV217_00010,QLU69840.1,dnaN,1399,2500,pos,,DNA polymerase III subunit beta,,2.7.7.7,,COORDINATES: similar to AA sequence:RefSeq:WP_006177590.1
CDS_CP056460.1_2499_3573_pos,HV217_00015,QLU69841.1,recF,2499,3573,pos,,DNA replication/repair protein RecF,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005121479.1
CDS_CP056460.1_3601_6013_pos,HV217_00020,QLU69842.1,gyrB,3601,6013,pos,,DNA topoisomerase (ATP-hydrolyzing) subunit B,,,,COORDINATES: similar to AA sequence:RefSeq:NP_462735.1
CDS_CP056460.1_6047_6983_neg,HV217_00025,QLU69843.1,,6047,6983,neg,,LysR family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:WP_014839853.1
CDS_CP056460.1_7093_8119_pos,HV217_00030,QLU69844.1,,7093,8119,pos,,NAD(P)-dependent alcohol dehydrogenase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004855699.1
CDS_CP056460.1_8232_9045_pos,HV217_00035,QLU69845.1,yidA,8232,9045,pos,,sugar-phosphatase,,3.1.3.23,,COORDINATES: similar to AA sequence:RefSeq:NP_462731.1
CDS_CP056460.1_9271_9961_pos,HV217_00040,QLU69846.1,dgoR,9271,9961,pos,,D-galactonate utilization transcriptional regulator DgoR,,,,COORDINATES: similar to AA sequence:RefSeq:NP_709505.1
CDS_CP056460.1_9957_10836_pos,HV217_00045,QLU69847.1,,9957,10836,pos,,2-dehydro-3-deoxygalactonokinase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229570.1
CDS_CP056460.1_10819_11437_pos,HV217_00050,QLU69848.1,,10819,11437,pos,,2-dehydro-3-deoxy-6-phosphogalactonate aldolase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_026238.1
CDS_CP056460.1_11433_12582_pos,HV217_00055,QLU69849.1,dgoD,11433,12582,pos,,galactonate dehydratase,,4.2.1.6,,COORDINATES: similar to AA sequence:RefSeq:WP_020077623.1
CDS_CP056460.1_12699_14037_pos,HV217_00060,QLU69850.1,,12699,14037,pos,,MFS transporter,,,,COORDINATES: similar to AA sequence:RefSeq:NP_709507.1
CDS_CP056460.1_14046_15318_pos,HV217_00065,QLU69851.1,,14046,15318,pos,,DUF3748 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_015570128.1
CDS_CP056460.1_15314_15647_neg,HV217_00070,QLU69852.1,,15314,15647,neg,,YceK/YidQ family lipoprotein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_017383693.1
CDS_CP056460.1_15962_16373_pos,HV217_00075,QLU69853.1,ibpA,15962,16373,pos,,heat shock chaperone IbpA,,,,COORDINATES: similar to AA sequence:RefSeq:WP_006687722.1
CDS_CP056460.1_16509_16938_pos,HV217_00080,QLU69854.1,ibpB,16509,16938,pos,,heat shock chaperone IbpB,,,,COORDINATES: similar to AA sequence:RefSeq:NP_462708.3
CDS_CP056460.1_17110_18772_pos,HV217_00085,QLU69855.1,,17110,18772,pos,,putative transporter,,,,COORDINATES: similar to AA sequence:RefSeq:NP_462707.1
CDS_CP056460.1_18739_19486_neg,HV217_00090,QLU69856.1,,18739,19486,neg,,GntR family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:WP_014167973.1
CDS_CP056460.1_19707_21330_pos,HV217_00095,QLU69857.1,,19707,21330,pos,,PTS transporter subunit EIIC,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229559.1
CDS_CP056460.1_21326_22649_pos,HV217_00100,QLU69858.1,,21326,22649,pos,,6-phospho-alpha-glucosidase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229558.1
CDS_CP056460.1_22741_23089_pos,HV217_00105,QLU69859.1,,22741,23089,pos,,YidH family protein,,,,COORDINATES: similar to AA sequence:RefSeq:NP_462706.1
CDS_CP056460.1_23078_23426_pos,HV217_00110,QLU69860.1,,23078,23426,pos,,DUF202 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_015570122.1
CDS_CP056460.1_23458_24745_neg,HV217_00115,QLU69861.1,dsdA,23458,24745,neg,,D-serine ammonia-lyase,,4.3.1.18,,COORDINATES: similar to AA sequence:RefSeq:WP_014068265.1
CDS_CP056460.1_24842_25928_pos,HV217_00120,,,24842,25928,pos,True,cellulase family glycosylhydrolase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_014167981.1
CDS_CP056460.1_25833_27018_neg,HV217_00125,QLU69862.1,emrD,25833,27018,neg,,multidrug efflux MFS transporter EmrD,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229550.1
CDS_CP056460.1_27193_28027_neg,HV217_00130,QLU69863.1,,27193,28027,neg,,EamA family transporter,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229549.1
CDS_CP056460.1_28089_28536_neg,HV217_00135,QLU69864.1,,28089,28536,neg,,GNAT family N-acetyltransferase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_006808797.1
CDS_CP056460.1_28600_28690_neg,HV217_00140,QLU69865.1,tisB,28600,28690,neg,,type I toxin-antitoxin system toxin TisB,,,,COORDINATES: similar to AA sequence:RefSeq:NP_453107.1
CDS_CP056460.1_29293_30501_pos,HV217_00145,QLU74311.1,,29293,30501,pos,,IS3 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076611134.1
CDS_CP056460.1_30761_31475_pos,HV217_00150,QLU69866.1,,30761,31475,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_017383682.1
CDS_CP056460.1_31671_32151_pos,HV217_00155,QLU69867.1,hcp,31671,32151,pos,,type VI secretion system tube protein Hcp,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004867872.1
CDS_CP056460.1_32258_32357_pos,HV217_00160,QLU69868.1,ivbL,32258,32357,pos,,ilvB operon leader peptide IvbL,,,,COORDINATES: similar to AA sequence:RefSeq:WP_002923286.1
CDS_CP056460.1_32528_34217_pos,HV217_00165,QLU69869.1,ilvB,32528,34217,pos,,acetolactate synthase large subunit,,,,COORDINATES: similar to AA sequence:RefSeq:NP_312639.1
CDS_CP056460.1_34220_34508_pos,HV217_00170,QLU69870.1,ilvN,34220,34508,pos,,acetolactate synthase small subunit,,2.2.1.6,,COORDINATES: similar to AA sequence:RefSeq:YP_005229544.1
CDS_CP056460.1_34633_35227_pos,HV217_00175,QLU69871.1,uhpA,34633,35227,pos,,transcriptional regulator UhpA,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229543.1
CDS_CP056460.1_35223_36729_pos,HV217_00180,QLU69872.1,uhpB,35223,36729,pos,,signal transduction histidine-protein kinase/phosphatase UhpB,,2.7.13.3,,COORDINATES: similar to AA sequence:RefSeq:WP_017694010.1
CDS_CP056460.1_36721_38032_pos,HV217_00185,QLU69873.1,,36721,38032,pos,,MFS transporter,,,,COORDINATES: similar to AA sequence:RefSeq:WP_006177623.1
CDS_CP056460.1_38164_39556_pos,HV217_00190,QLU69874.1,uhpT,38164,39556,pos,,hexose-6-phosphate:phosphate antiporter,,,,COORDINATES: similar to AA sequence:RefSeq:NP_462686.1
CDS_CP056460.1_39717_40722_pos,HV217_00195,QLU69875.1,,39717,40722,pos,,alpha/beta hydrolase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_013094813.1
