,locus_tag,protein_id,gene,start,end,strand,pseudo,product,Dbxref,inference,type,ID,Parent,Name,gbkey,transl_table,source,phase,end_range,partial,start_range
CDS_NC_009641.1_516_1878_pos,NWMN_RS00005,WP_001290433.1,dnaA,516,1878,pos,,chromosomal replication initiator protein DnaA,Genbank:WP_001290433.1,COORDINATES: similar to AA sequence:RefSeq:YP_498609.1,CDS,cds-WP_001290433.1,gene-NWMN_RS00005,WP_001290433.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_2162_3296_pos,NWMN_RS00010,WP_000969811.1,dnaN,2162,3296,pos,,DNA polymerase III subunit beta,Genbank:WP_000969811.1,COORDINATES: similar to AA sequence:RefSeq:WP_000969809.1,CDS,cds-WP_000969811.1,gene-NWMN_RS00010,WP_000969811.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_3676_3922_pos,NWMN_RS00015,WP_001789359.1,yaaA,3676,3922,pos,,S4 domain-containing protein YaaA,Genbank:WP_001789359.1,COORDINATES: similar to AA sequence:RefSeq:YP_498611.1,CDS,cds-WP_001789359.1,gene-NWMN_RS00015,WP_001789359.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_3918_5031_pos,NWMN_RS00020,WP_000775113.1,recF,3918,5031,pos,,DNA replication/repair protein RecF,Genbank:WP_000775113.1,COORDINATES: similar to AA sequence:RefSeq:YP_498612.1,CDS,cds-WP_000775113.1,gene-NWMN_RS00020,WP_000775113.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_5040_6975_pos,NWMN_RS00025,WP_000255586.1,,5040,6975,pos,,DNA topoisomerase (ATP-hydrolyzing) subunit B,Genbank:WP_000255586.1,COORDINATES: similar to AA sequence:RefSeq:YP_498613.1,CDS,cds-WP_000255586.1,gene-NWMN_RS00025,WP_000255586.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_7011_9675_pos,NWMN_RS00030,WP_000819088.1,gyrA,7011,9675,pos,,DNA gyrase subunit A,Genbank:WP_000819088.1,COORDINATES: similar to AA sequence:RefSeq:YP_498614.1,CDS,cds-WP_000819088.1,gene-NWMN_RS00030,WP_000819088.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_9761_10574_neg,NWMN_RS00035,WP_000449218.1,,9761,10574,neg,,NAD(P)H-hydrate dehydratase,Genbank:WP_000449218.1,COORDINATES: similar to AA sequence:RefSeq:WP_002461649.1,CDS,cds-WP_000449218.1,gene-NWMN_RS00035,WP_000449218.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_10899_12414_pos,NWMN_RS00040,WP_000177464.1,hutH,10899,12414,pos,,histidine ammonia-lyase,Genbank:WP_000177464.1,COORDINATES: similar to AA sequence:RefSeq:YP_498616.1,CDS,cds-WP_000177464.1,gene-NWMN_RS00040,WP_000177464.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_12792_14079_pos,NWMN_RS00045,WP_000884334.1,serS,12792,14079,pos,,serine--tRNA ligase,Genbank:WP_000884334.1,COORDINATES: similar to AA sequence:RefSeq:YP_498617.1,CDS,cds-WP_000884334.1,gene-NWMN_RS00045,WP_000884334.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_14728_15424_pos,NWMN_RS00050,WP_000207095.1,,14728,15424,pos,,AzlC family ABC transporter permease,Genbank:WP_000207095.1,COORDINATES: similar to AA sequence:RefSeq:YP_498618.1,CDS,cds-WP_000207095.1,gene-NWMN_RS00050,WP_000207095.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_15420_15750_pos,NWMN_RS00055,WP_000628050.1,,15420,15750,pos,,AzlD domain-containing protein,Genbank:WP_000628050.1,COORDINATES: similar to AA sequence:RefSeq:YP_498619.1,CDS,cds-WP_000628050.1,gene-NWMN_RS00055,WP_000628050.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_16112_17081_pos,NWMN_RS00060,WP_000186481.1,,16112,17081,pos,,alpha/beta fold hydrolase,Genbank:WP_000186481.1,COORDINATES: similar to AA sequence:RefSeq:YP_498620.1,CDS,cds-WP_000186481.1,gene-NWMN_RS00060,WP_000186481.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_17371_18310_pos,NWMN_RS00065,WP_001791710.1,,17371,18310,pos,,YybS family protein,Genbank:WP_001791710.1,COORDINATES: similar to AA sequence:RefSeq:YP_498621.1,CDS,cds-WP_001791710.1,gene-NWMN_RS00065,WP_001791710.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_18324_20292_pos,NWMN_RS00070,WP_001081634.1,gdpP,18324,20292,pos,,cyclic-di-AMP phosphodiesterase GdpP,Genbank:WP_001081634.1,COORDINATES: similar to AA sequence:RefSeq:YP_498622.1,CDS,cds-WP_001081634.1,gene-NWMN_RS00070,WP_001081634.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_20288_20735_pos,NWMN_RS00075,WP_000864305.1,,20288,20735,pos,,50S ribosomal protein L9,Genbank:WP_000864305.1,COORDINATES: similar to AA sequence:RefSeq:WP_019468525.1,CDS,cds-WP_000864305.1,gene-NWMN_RS00075,WP_000864305.1,CDS,11,Protein Homology,0,,,
CDS_NC_009641.1_20766_22167_pos,NWMN_RS00080,WP_000375647.1,dnaB,20766,22167,pos,,replicative DNA helicase,Genbank:WP_000375647.1,COORDINATES: similar to AA sequence:RefSeq:YP_498624.1,CDS,cds-WP_000375647.1,gene-NWMN_RS00080,WP_000375647.1,CDS,11,Protein Homology,0,,,
