qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,qlen,slen,aln_pct_qlen,aln_pct_slen
CDS_CP056560.1_4734948_4738095_neg,CDS_CP056561.1_18007_21154_neg,98.473,1048,16,0,1,1048,1,1048,0.0,2091.0,1048,1048,100.0,100.0
CDS_CP056560.1_1492888_1495252_neg,CDS_CP056560.1_1495269_1496571_neg,100.0,787,0,0,1,787,1,787,0.0,1634.0,787,787,100.0,100.0
CDS_CP056560.1_3609109_3611389_neg,CDS_CP056560.1_3611678_3612628_pos,100.0,759,0,0,1,759,1,759,0.0,1547.0,759,759,100.0,100.0
CDS_CP056560.1_771753_773934_neg,CDS_CP056560.1_773933_776443_neg,100.0,726,0,0,1,726,1,726,0.0,1521.0,726,726,100.0,100.0
CDS_CP056560.1_2248991_2251025_pos,CDS_CP056560.1_2251328_2253910_pos,100.0,677,0,0,1,677,1,677,0.0,1393.0,677,677,100.0,100.0
CDS_CP056560.1_1908787_1910722_pos,CDS_CP056560.1_1910926_1913193_pos,100.0,644,0,0,1,644,1,644,0.0,1317.0,644,644,100.0,100.0
CDS_CP056560.1_4725601_4727419_neg,CDS_CP056561.1_11107_12925_neg,99.008,605,6,0,1,605,1,605,0.0,1247.0,605,605,100.0,100.0
CDS_CP056560.1_2786397_2788167_pos,CDS_CP056560.1_2788168_2789192_pos,100.0,589,0,0,1,589,1,589,0.0,1228.0,589,589,100.0,100.0
CDS_CP056560.1_2128010_2129780_neg,CDS_CP056560.1_2129865_2130996_neg,100.0,589,0,0,1,589,1,589,0.0,1225.0,589,589,100.0,100.0
CDS_CP056560.1_1330535_1332203_pos,CDS_CP056560.1_1332649_1333135_pos,100.0,555,0,0,1,555,1,555,0.0,1161.0,555,555,100.0,100.0
CDS_CP056560.1_2465441_2467133_neg,CDS_CP056560.1_2467293_2467959_neg,100.0,563,0,0,1,563,1,563,0.0,1134.0,563,563,100.0,100.0
CDS_CP056560.1_1740837_1742376_neg,CDS_CP056561.1_91763_93302_pos,100.0,512,0,0,1,512,1,512,0.0,1051.0,512,512,100.0,100.0
CDS_CP056560.1_1740837_1742376_neg,CDS_CP056560.1_4733326_4734865_pos,100.0,512,0,0,1,512,1,512,0.0,1051.0,512,512,100.0,100.0
CDS_CP056560.1_4733326_4734865_pos,CDS_CP056561.1_91763_93302_pos,100.0,512,0,0,1,512,1,512,0.0,1051.0,512,512,100.0,100.0
CDS_CP056560.1_4217877_4219425_neg,CDS_CP056560.1_4219930_4221088_pos,100.0,515,0,0,1,515,1,515,0.0,1033.0,515,515,100.0,100.0
CDS_CP056560.1_570216_571701_neg,CDS_CP056560.1_572185_573493_pos,100.0,494,0,0,1,494,1,494,0.0,1009.0,494,494,100.0,100.0
CDS_CP056560.1_3901794_3903237_pos,CDS_CP056560.1_3903233_3904367_pos,100.0,480,0,0,1,480,1,480,0.0,1009.0,480,480,100.0,100.0
CDS_CP056560.1_3153276_3154710_neg,CDS_CP056560.1_3155020_3155731_neg,100.0,477,0,0,1,477,1,477,0.0,986.0,477,477,100.0,100.0
