,locus_tag,protein_id,gene,start,end,strand,pseudo,product,db_xref,EC_number,old_locus_tag,inference,dup_id
CDS_CP060011.1_566361_567452_neg,H5029_02750,QPO00238.1,,566361,567452,neg,,IS4 family transposase ISAba1,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076612069.1,dup_22
CDS_CP060011.1_2312493_2314455_pos,H5029_10820,QPN98399.1,,2312493,2314455,pos,,cysteine desulfurase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004995056.1,dup_7
CDS_CP060011.1_2608825_2609916_pos,H5029_12200,QPN98652.1,,2608825,2609916,pos,,IS4 family transposase ISAba1,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076612069.1,dup_22
CDS_CP060011.1_2634691_2635351_neg,H5029_12325,QPN98675.1,,2634691,2635351,neg,,recombinase family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_010512305.1,dup_46
CDS_CP060011.1_834548_836051_pos,H5029_04040,QPO00463.1,,834548,836051,pos,,cation:proton antiporter,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004996409.1,dup_11
CDS_CP060011.1_2523486_2524419_neg,H5029_11780,QPN98573.1,,2523486,2524419,neg,,lauroyl acyltransferase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004994762.1,dup_26
CDS_CP060011.1_1768481_1769696_neg,H5029_08265,QPO01220.1,pcaF,1768481,1769696,neg,,3-oxoadipyl-CoA thiolase,,2.3.1.174,,COORDINATES: similar to AA sequence:RefSeq:YP_004995596.1,dup_69
CDS_CP060011.1_2718413_2718815_neg,H5029_12775,QPN98756.1,,2718413,2718815,neg,,DUF559 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_002126036.1,dup_58
CDS_CP060011.1_2906935_2907481_neg,H5029_13680,QPN98920.1,,2906935,2907481,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001019726.1,dup_54
CDS_CP060011.1_2720337_2721219_neg,H5029_12795,QPN98760.1,,2720337,2721219,neg,,replication protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000064620.1,dup_31
CDS_CP060011.1_2492098_2492449_neg,H5029_11660,QPN98557.1,,2492098,2492449,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_017815977.1,dup_59
CDS_CP060011.1_2936974_2937247_neg,H5029_13880,QPN98959.1,,2936974,2937247,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004736118.1,dup_66
