qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,qlen,slen,aln_pct_qlen,aln_pct_slen
CDS_CP064352.1_1121351_1124438_pos,CDS_CP064352.1_1124493_1124820_pos,100.0,1028,0,0,1,1028,1,1028,0.0,2071.0,1028,1028,100.0,100.0
CDS_CP064352.1_314086_316723_pos,CDS_CP064352.1_316833_318014_neg,100.0,878,0,0,1,878,1,878,0.0,1772.0,878,878,100.0,100.0
CDS_CP064352.1_4521004_4523548_neg,CDS_CP064352.1_4525105_4526300_neg,100.0,847,0,0,1,847,1,847,0.0,1757.0,847,847,100.0,100.0
CDS_CP064352.1_4521004_4523548_neg,CDS_CP064352.1_4523786_4525109_pos,100.0,847,0,0,1,847,1,847,0.0,1757.0,847,847,100.0,100.0
CDS_CP064352.1_4523786_4525109_pos,CDS_CP064352.1_4525105_4526300_neg,100.0,847,0,0,1,847,1,847,0.0,1757.0,847,847,100.0,100.0
CDS_CP064352.1_1768917_1771317_neg,CDS_CP064352.1_1771304_1771834_neg,100.0,799,0,0,1,799,1,799,0.0,1660.0,799,799,100.0,100.0
CDS_CP064352.1_3455722_3457945_pos,CDS_CP064352.1_3458096_3459185_neg,100.0,740,0,0,1,740,1,740,0.0,1536.0,740,740,100.0,100.0
CDS_CP064352.1_139310_141332_pos,CDS_CP064352.1_141391_142086_pos,100.0,673,0,0,1,673,1,673,0.0,1335.0,673,673,100.0,100.0
CDS_CP064352.1_4831388_4833254_pos,CDS_CP064352.1_4833399_4834585_pos,100.0,621,0,0,1,621,1,621,0.0,1295.0,621,621,100.0,100.0
CDS_CP064352.1_4295570_4297478_neg,CDS_CP064352.1_4298008_4298312_pos,100.0,635,0,0,1,635,1,635,0.0,1284.0,635,635,100.0,100.0
CDS_CP064352.1_3268792_3270577_pos,CDS_CP064352.1_4620127_4621891_pos,95.791,594,18,3,1,594,1,587,0.0,1142.0,594,587,100.0,101.19
CDS_CP064352.1_852905_854603_pos,CDS_CP064352.1_854786_854911_pos,100.0,565,0,0,1,565,1,565,0.0,1134.0,565,565,100.0,100.0
CDS_CP064352.1_2264781_2266440_neg,CDS_CP064352.1_2266859_2267554_pos,100.0,552,0,0,1,552,1,552,0.0,1123.0,552,552,100.0,100.0
CDS_CP064352.1_1394615_1396178_neg,CDS_CP064352.1_1396206_1397218_neg,100.0,520,0,0,1,520,1,520,0.0,1040.0,520,520,100.0,100.0
CDS_CP064352.1_2748506_2750024_neg,CDS_CP064352.1_4938310_4939828_pos,93.663,505,32,0,1,505,1,505,0.0,985.0,505,505,100.0,100.0
CDS_CP064352.1_1523520_1524945_neg,CDS_CP064352.1_1525059_1525429_neg,100.0,474,0,0,1,474,1,474,0.0,953.0,474,474,100.0,100.0
CDS_CP064352.1_2946821_2948231_neg,CDS_CP064352.1_2948313_2948443_neg,100.0,469,0,0,1,469,1,469,0.0,944.0,469,469,100.0,100.0
CDS_CP064352.1_961365_962799_pos,CDS_CP064352.1_962920_963906_pos,100.0,477,0,0,1,477,1,477,0.0,943.0,477,477,100.0,100.0
CDS_CP064352.1_1344972_1346379_neg,CDS_CP064352.1_1346966_1347646_pos,100.0,468,0,0,1,468,1,468,0.0,943.0,468,468,100.0,100.0
CDS_CP064352.1_1412679_1414043_pos,CDS_CP064352.1_3525601_3526965_neg,100.0,454,0,0,1,454,1,454,0.0,941.0,454,454,100.0,100.0
CDS_CP064352.1_1412679_1414043_pos,CDS_CP064352.1_2685642_2687006_pos,100.0,454,0,0,1,454,1,454,0.0,941.0,454,454,100.0,100.0
CDS_CP064352.1_1412679_1414043_pos,CDS_CP064352.1_2596305_2597669_pos,100.0,454,0,0,1,454,1,454,0.0,941.0,454,454,100.0,100.0
CDS_CP064352.1_2596305_2597669_pos,CDS_CP064352.1_3525601_3526965_neg,100.0,454,0,0,1,454,1,454,0.0,941.0,454,454,100.0,100.0
CDS_CP064352.1_2596305_2597669_pos,CDS_CP064352.1_2685642_2687006_pos,100.0,454,0,0,1,454,1,454,0.0,941.0,454,454,100.0,100.0
CDS_CP064352.1_2685642_2687006_pos,CDS_CP064352.1_3525601_3526965_neg,100.0,454,0,0,1,454,1,454,0.0,941.0,454,454,100.0,100.0
