,locus_tag,protein_id,gene,start,end,strand,pseudo,product,db_xref,EC_number,old_locus_tag,inference,dup_id
CDS_CP066016.1_2467160_2468251_pos,I6H93_11830,QQB65715.1,,2467160,2468251,pos,,IS4 family transposase ISAba1,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076612069.1,dup_27
CDS_CP066016.1_1857905_1858388_neg,I6H93_08965,QQB68750.1,ureE,1857905,1858388,neg,,urease accessory protein UreE,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004994565.1,dup_69
CDS_CP066016.1_1493868_1494726_neg,I6H93_07205,QQB68950.1,,1493868,1494726,neg,,RHS domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_013198302.1,dup_38
CDS_CP066016.1_2047846_2049037_neg,I6H93_09825,QQB65359.1,tuf,2047846,2049037,neg,,elongation factor Tu,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004994400.1,dup_24
CDS_CP066016.1_904317_904614_neg,I6H93_04345,QQB67889.1,,904317,904614,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000983197.1,dup_84
CDS_CP066016.1_3055340_3055715_neg,I6H93_14630,QQB66218.1,,3055340,3055715,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997177.1,dup_77
CDS_CP066016.1_235959_236211_pos,I6H93_01035,QQB67275.1,,235959,236211,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001068421.1,dup_88
CDS_CP066016.1_2736919_2737420_neg,I6H93_13150,QQB65953.1,,2736919,2737420,neg,,GNAT family N-acetyltransferase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004194535.1,dup_66
CDS_CP066016.1_1240909_1242475_neg,I6H93_06005,QQB68202.1,ahpF,1240909,1242475,neg,,alkyl hydroperoxide reductase subunit F,,1.8.1.-,,COORDINATES: similar to AA sequence:RefSeq:WP_000886779.1,dup_11
CDS_CP066016.1_2045468_2046559_pos,I6H93_09815,QQB65357.1,,2045468,2046559,pos,,IS4 family transposase ISAba1,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076612069.1,dup_27
CDS_CP066016.1_2717753_2718458_pos,I6H93_13040,QQB65933.1,,2717753,2718458,pos,,IS6-like element IS26 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_042893601.1,dup_49
CDS_CP066016.1_889742_890900_neg,I6H93_04250,QQB67870.1,,889742,890900,neg,,replication initiation factor domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000505020.1,dup_23
