,locus_tag,protein_id,gene,start,end,strand,pseudo,product,db_xref,EC_number,old_locus_tag,inference
CDS_NZ_CP065432.1_0_1398_pos,I5593_RS00005,WP_000964768.1,dnaA,0,1398,pos,,chromosomal replication initiator protein DnaA,,,I5593_00005,COORDINATES: similar to AA sequence:RefSeq:YP_004996698.1
CDS_NZ_CP065432.1_1495_2644_pos,I5593_RS00010,WP_001237350.1,,1495,2644,pos,,DNA polymerase III subunit beta,,2.7.7.7,I5593_00010,COORDINATES: similar to AA sequence:RefSeq:WP_010116376.1
CDS_NZ_CP065432.1_2658_3741_pos,I5593_RS00015,WP_000550807.1,recF,2658,3741,pos,,DNA replication/repair protein RecF,,,I5593_00015,COORDINATES: similar to AA sequence:RefSeq:YP_004996701.1
CDS_NZ_CP065432.1_3793_6262_pos,I5593_RS00020,WP_000093729.1,gyrB,3793,6262,pos,,DNA topoisomerase (ATP-hydrolyzing) subunit B,,5.6.2.2,I5593_00020,COORDINATES: similar to AA sequence:RefSeq:YP_004996702.1
CDS_NZ_CP065432.1_6299_6692_pos,I5593_RS00025,WP_000987632.1,cybC,6299,6692,pos,,cytochrome b562,,,I5593_00025,COORDINATES: similar to AA sequence:RefSeq:YP_004996703.1
CDS_NZ_CP065432.1_6777_7335_neg,I5593_RS00030,WP_001009202.1,,6777,7335,neg,,VTT domain-containing protein,,,I5593_00030,COORDINATES: similar to AA sequence:RefSeq:WP_001009196.1
CDS_NZ_CP065432.1_7584_9516_neg,I5593_RS00035,WP_000613973.1,,7584,9516,neg,,ATP-binding cassette domain-containing protein,,,I5593_00035,COORDINATES: similar to AA sequence:RefSeq:WP_006581465.1
CDS_NZ_CP065432.1_9772_10777_pos,I5593_RS00040,WP_000746542.1,,9772,10777,pos,,RND transporter,,,I5593_00040,COORDINATES: similar to AA sequence:RefSeq:YP_004996706.1
CDS_NZ_CP065432.1_11032_12040_pos,I5593_RS00045,WP_000724999.1,,11032,12040,pos,,hypothetical protein,,,I5593_00045,COORDINATES: similar to AA sequence:RefSeq:WP_004745104.1
CDS_NZ_CP065432.1_12382_13387_pos,I5593_RS00050,WP_001212536.1,,12382,13387,pos,,hypothetical protein,,,I5593_00050,COORDINATES: similar to AA sequence:RefSeq:YP_004996709.1
CDS_NZ_CP065432.1_13511_13847_pos,I5593_RS00055,WP_000993572.1,erpA,13511,13847,pos,,iron-sulfur cluster insertion protein ErpA,,,I5593_00055,COORDINATES: similar to AA sequence:RefSeq:YP_004996710.1
