qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,qlen,slen,aln_pct_qlen,aln_pct_slen
CDS_NZ_CP065432.1_1226805_1230252_pos,CDS_NZ_CP065432.1_2805438_2808864_neg,93.29899999999999,1149,68,2,1,1148,1,1141,0.0,2181.0,1148,1141,100.09,100.7
CDS_NZ_CP065432.1_2686207_2689654_neg,CDS_NZ_CP065432.1_2805438_2808864_neg,93.29899999999999,1149,68,2,1,1148,1,1141,0.0,2181.0,1148,1141,100.09,100.7
CDS_NZ_CP065432.1_1220423_1224779_pos,CDS_NZ_CP065432.1_2691680_2696036_neg,100.0,1451,0,0,1,1451,1,1451,0.0,2915.0,1451,1451,100.0,100.0
CDS_NZ_CP065432.1_1226805_1230252_pos,CDS_NZ_CP065432.1_2686207_2689654_neg,100.0,1148,0,0,1,1148,1,1148,0.0,2363.0,1148,1148,100.0,100.0
CDS_NZ_CP065432.1_1473393_1476000_pos,CDS_NZ_CP065432.1_1476552_1477080_pos,100.0,868,0,0,1,868,1,868,0.0,1803.0,868,868,100.0,100.0
CDS_NZ_CP065432.1_330454_332560_neg,CDS_NZ_CP065432.1_332599_332730_neg,100.0,701,0,0,1,701,1,701,0.0,1455.0,701,701,100.0,100.0
CDS_NZ_CP065432.1_652948_655027_pos,CDS_NZ_CP065432.1_655173_659693_pos,100.0,692,0,0,1,692,1,692,0.0,1393.0,692,692,100.0,100.0
CDS_NZ_CP065432.1_2258929_2260495_neg,CDS_NZ_CP065432.1_2595741_2597307_pos,100.0,521,0,0,1,521,1,521,0.0,1067.0,521,521,100.0,100.0
CDS_NZ_CP065432.1_1204272_1205766_pos,CDS_NZ_CP065432.1_2710693_2712187_neg,100.0,497,0,0,1,497,1,497,0.0,1038.0,497,497,100.0,100.0
CDS_NZ_CP065432.1_779007_780510_pos,CDS_NZ_CP065432.1_780969_791691_pos,100.0,500,0,0,1,500,1,500,0.0,1003.0,500,500,100.0,100.0
CDS_NZ_CP065432.1_3022031_3023474_neg,CDS_NZ_CP065432.1_3023567_3023814_neg,100.0,480,0,0,1,480,1,480,0.0,996.0,480,480,100.0,100.0
CDS_NZ_CP065432.1_2738705_2740169_neg,CDS_NZ_CP065432.1_2740567_2741661_neg,100.0,487,0,0,1,487,1,487,0.0,981.0,487,487,100.0,100.0
CDS_NZ_CP065432.1_1205765_1207172_pos,CDS_NZ_CP065432.1_2709287_2710694_neg,100.0,468,0,0,1,468,1,468,0.0,975.0,468,468,100.0,100.0
CDS_NZ_CP065432.1_1880282_1881677_pos,CDS_NZ_CP065432.1_1882084_1882453_pos,100.0,464,0,0,1,464,1,464,0.0,968.0,464,464,100.0,100.0
CDS_NZ_CP065432.1_1625015_1626344_neg,CDS_NZ_CP065432.1_1626560_1626661_pos,100.0,442,0,0,1,442,1,442,0.0,929.0,442,442,100.0,100.0
CDS_NZ_CP065432.1_2682731_2684066_neg,CDS_NZ_CP065432.1_2684351_2684621_pos,100.0,444,0,0,1,444,1,444,0.0,922.0,444,444,100.0,100.0
CDS_NZ_CP065432.1_3896589_3897876_neg,CDS_NZ_CP065432.1_3897886_3898886_neg,100.0,428,0,0,1,428,1,428,0.0,881.0,428,428,100.0,100.0
CDS_NZ_CP065432.1_2440898_2442188_pos,CDS_NZ_CP065432.1_2442253_2443007_neg,100.0,429,0,0,1,429,1,429,0.0,863.0,429,429,100.0,100.0
CDS_NZ_CP065432.1_3547781_3549032_neg,CDS_NZ_CP065432.1_3549065_3550313_neg,100.0,416,0,0,1,416,1,416,0.0,850.0,416,416,100.0,100.0
CDS_NZ_CP065432.1_1778003_1779260_neg,CDS_NZ_CP065432.1_2586831_2588088_pos,96.411,418,15,0,1,418,1,418,0.0,842.0,418,418,100.0,100.0
CDS_NZ_CP065432.1_2212627_2213860_neg,CDS_NZ_CP065432.1_2214291_2215154_neg,100.0,410,0,0,1,410,1,410,0.0,834.0,410,410,100.0,100.0
CDS_NZ_CP065432.1_3075766_3076957_neg,CDS_NZ_CP065432.1_3670488_3671679_neg,100.0,396,0,0,1,396,1,396,0.0,806.0,396,396,100.0,100.0
CDS_NZ_CP065432.1_1213802_1214981_pos,CDS_NZ_CP065432.1_2819202_2820381_neg,100.0,392,0,0,1,392,1,392,0.0,804.0,392,392,100.0,100.0
CDS_NZ_CP065432.1_1213802_1214981_pos,CDS_NZ_CP065432.1_2701478_2702657_neg,100.0,392,0,0,1,392,1,392,0.0,804.0,392,392,100.0,100.0
