qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,qlen,slen,aln_pct_qlen,aln_pct_slen
CDS_CP065831.1_748808_750044_pos,CDS_CP065831.1_3233121_3234360_neg,93.204,412,27,1,1,411,1,412,0.0,754.0,411,412,100.24,100.0
CDS_CP065831.1_49999_51379_neg,CDS_CP065831.1_4824241_4825624_neg,97.609,460,10,1,1,459,1,460,0.0,932.0,459,460,100.22,100.0
CDS_CP065831.1_3065714_3068234_neg,CDS_CP065831.1_3069892_3072415_neg,98.333,840,13,1,1,839,1,840,0.0,1713.0,839,840,100.12,100.0
CDS_CP065832.1_133558_138817_neg,CDS_CP065832.1_138816_141126_neg,100.0,1752,0,0,1,1752,1,1752,0.0,3553.0,1752,1752,100.0,100.0
CDS_CP065831.1_745361_747512_pos,CDS_CP065831.1_3464655_3466806_neg,100.0,716,0,0,1,716,1,716,0.0,1424.0,716,716,100.0,100.0
CDS_CP065831.1_721941_724002_pos,CDS_CP065831.1_3488165_3490226_neg,100.0,686,0,0,1,686,1,686,0.0,1418.0,686,686,100.0,100.0
CDS_CP065831.1_754127_756119_pos,CDS_CP065831.1_3456048_3458040_neg,100.0,663,0,0,1,663,1,663,0.0,1367.0,663,663,100.0,100.0
CDS_CP065831.1_754127_756119_pos,CDS_CP065831.1_3227055_3229047_neg,100.0,663,0,0,1,663,1,663,0.0,1367.0,663,663,100.0,100.0
CDS_CP065831.1_3227055_3229047_neg,CDS_CP065831.1_3456048_3458040_neg,100.0,663,0,0,1,663,1,663,0.0,1367.0,663,663,100.0,100.0
CDS_CP065832.1_11195_13193_neg,CDS_CP065832.1_13344_14042_neg,100.0,665,0,0,1,665,1,665,0.0,1349.0,665,665,100.0,100.0
CDS_CP065831.1_1918556_1920467_pos,CDS_CP065831.1_1920463_1920591_neg,100.0,636,0,0,1,636,1,636,0.0,1311.0,636,636,100.0,100.0
CDS_CP065831.1_169407_171315_neg,CDS_CP065831.1_171860_172037_pos,100.0,635,0,0,1,635,1,635,0.0,1284.0,635,635,100.0,100.0
CDS_CP065831.1_733746_735450_pos,CDS_CP065831.1_3476717_3478421_neg,100.0,567,0,0,1,567,1,567,0.0,1174.0,567,567,100.0,100.0
CDS_CP065831.1_733746_735450_pos,CDS_CP065831.1_3247874_3249578_neg,97.531,567,14,0,1,567,1,567,0.0,1156.0,567,567,100.0,100.0
CDS_CP065831.1_3247874_3249578_neg,CDS_CP065831.1_3476717_3478421_neg,97.531,567,14,0,1,567,1,567,0.0,1156.0,567,567,100.0,100.0
CDS_CP065831.1_2119931_2121629_pos,CDS_CP065831.1_2121812_2121937_pos,100.0,565,0,0,1,565,1,565,0.0,1134.0,565,565,100.0,100.0
CDS_CP065831.1_735449_737018_pos,CDS_CP065831.1_3475149_3476718_neg,100.0,522,0,0,1,522,1,522,0.0,1072.0,522,522,100.0,100.0
CDS_CP065831.1_2649519_2651082_neg,CDS_CP065831.1_2651110_2652122_neg,100.0,520,0,0,1,520,1,520,0.0,1041.0,520,520,100.0,100.0
CDS_CP065831.1_735449_737018_pos,CDS_CP065831.1_3246306_3247875_neg,94.63600000000001,522,28,0,1,522,1,522,0.0,1026.0,522,522,100.0,100.0
CDS_CP065831.1_3246306_3247875_neg,CDS_CP065831.1_3475149_3476718_neg,94.63600000000001,522,28,0,1,522,1,522,0.0,1026.0,522,522,100.0,100.0
CDS_CP065831.1_870224_871742_pos,CDS_CP065831.1_4060402_4061920_neg,93.663,505,32,0,1,505,1,505,0.0,985.0,505,505,100.0,100.0
CDS_CP065831.1_756118_757543_pos,CDS_CP065831.1_3454624_3456049_neg,100.0,474,0,0,1,474,1,474,0.0,975.0,474,474,100.0,100.0
CDS_CP065831.1_756118_757543_pos,CDS_CP065831.1_3225631_3227056_neg,100.0,474,0,0,1,474,1,474,0.0,975.0,474,474,100.0,100.0
CDS_CP065831.1_3225631_3227056_neg,CDS_CP065831.1_3454624_3456049_neg,100.0,474,0,0,1,474,1,474,0.0,975.0,474,474,100.0,100.0
CDS_CP065831.1_743046_744465_pos,CDS_CP065831.1_3467702_3469121_neg,100.0,472,0,0,1,472,1,472,0.0,944.0,472,472,100.0,100.0
CDS_CP065831.1_2667566_2668930_neg,CDS_CP065831.1_3755497_3755914_neg,100.0,454,0,0,1,454,1,454,0.0,940.0,454,454,100.0,100.0
CDS_CP065831.1_2667566_2668930_neg,CDS_CP065831.1_3753905_3755269_neg,100.0,454,0,0,1,454,1,454,0.0,940.0,454,454,100.0,100.0
CDS_CP065831.1_3753905_3755269_neg,CDS_CP065831.1_3755497_3755914_neg,100.0,454,0,0,1,454,1,454,0.0,940.0,454,454,100.0,100.0
CDS_CP065831.1_217584_218948_neg,CDS_CP065831.1_3337787_3339151_neg,99.78,454,1,0,1,454,1,454,0.0,938.0,454,454,100.0,100.0
CDS_CP065831.1_2667566_2668930_neg,CDS_CP065831.1_3337787_3339151_neg,99.78,454,1,0,1,454,1,454,0.0,938.0,454,454,100.0,100.0
CDS_CP065831.1_3337787_3339151_neg,CDS_CP065831.1_3755497_3755914_neg,99.78,454,1,0,1,454,1,454,0.0,938.0,454,454,100.0,100.0
CDS_CP065831.1_3337787_3339151_neg,CDS_CP065831.1_3753905_3755269_neg,99.78,454,1,0,1,454,1,454,0.0,938.0,454,454,100.0,100.0
CDS_CP065831.1_217584_218948_neg,CDS_CP065831.1_3755497_3755914_neg,99.559,454,2,0,1,454,1,454,0.0,936.0,454,454,100.0,100.0
CDS_CP065831.1_217584_218948_neg,CDS_CP065831.1_3753905_3755269_neg,99.559,454,2,0,1,454,1,454,0.0,936.0,454,454,100.0,100.0
CDS_CP065831.1_217584_218948_neg,CDS_CP065831.1_2667566_2668930_neg,99.559,454,2,0,1,454,1,454,0.0,936.0,454,454,100.0,100.0
CDS_CP065831.1_4761816_4763187_neg,CDS_CP065831.1_4763345_4764272_neg,100.0,456,0,0,1,456,1,456,0.0,936.0,456,456,100.0,100.0
CDS_CP065831.1_743046_744465_pos,CDS_CP065831.1_3238787_3240206_neg,97.881,472,10,0,1,472,1,472,0.0,931.0,472,472,100.0,100.0
CDS_CP065831.1_3238787_3240206_neg,CDS_CP065831.1_3467702_3469121_neg,97.881,472,10,0,1,472,1,472,0.0,931.0,472,472,100.0,100.0
CDS_CP065831.1_1531125_1532442_pos,CDS_CP065831.1_1532688_1533152_pos,100.0,438,0,0,1,438,1,438,0.0,903.0,438,438,100.0,100.0
CDS_CP065831.1_747511_748825_pos,CDS_CP065831.1_3463342_3464656_neg,100.0,437,0,0,1,437,1,437,0.0,889.0,437,437,100.0,100.0
CDS_CP065832.1_193546_194827_neg,CDS_CP065832.1_197267_198384_neg,100.0,426,0,0,1,426,1,426,0.0,879.0,426,426,100.0,100.0
CDS_CP065832.1_193546_194827_neg,CDS_CP065832.1_195794_196490_pos,100.0,426,0,0,1,426,1,426,0.0,879.0,426,426,100.0,100.0
CDS_CP065832.1_195794_196490_pos,CDS_CP065832.1_197267_198384_neg,100.0,426,0,0,1,426,1,426,0.0,879.0,426,426,100.0,100.0
CDS_CP065831.1_737010_738282_pos,CDS_CP065831.1_3473885_3475157_neg,100.0,423,0,0,1,423,1,423,0.0,863.0,423,423,100.0,100.0
CDS_CP065832.1_14232_15440_neg,CDS_CP065832.1_16030_16573_pos,100.0,402,0,0,1,402,1,402,0.0,841.0,402,402,100.0,100.0
CDS_CP065832.1_14232_15440_neg,CDS_CP065832.1_15530_16015_pos,100.0,402,0,0,1,402,1,402,0.0,841.0,402,402,100.0,100.0
CDS_CP065832.1_15530_16015_pos,CDS_CP065832.1_16030_16573_pos,100.0,402,0,0,1,402,1,402,0.0,841.0,402,402,100.0,100.0
CDS_CP065831.1_1423039_1424326_pos,CDS_CP065831.1_1424400_1425126_pos,100.0,428,0,0,1,428,1,428,0.0,838.0,428,428,100.0,100.0
CDS_CP065831.1_3550109_3551321_neg,CDS_CP065831.1_3551629_3552189_pos,100.0,403,0,0,1,403,1,403,0.0,837.0,403,403,100.0,100.0
CDS_CP065831.1_748808_750044_pos,CDS_CP065831.1_3462123_3463359_neg,100.0,411,0,0,1,411,1,411,0.0,833.0,411,411,100.0,100.0
CDS_CP065831.1_3316996_3318217_neg,CDS_CP065831.1_3318613_3319291_neg,100.0,406,0,0,1,406,1,406,0.0,832.0,406,406,100.0,100.0
CDS_CP065832.1_102073_103327_pos,CDS_CP065832.1_103547_104244_neg,100.0,417,0,0,1,417,1,417,0.0,831.0,417,417,100.0,100.0
CDS_CP065832.1_102073_103327_pos,CDS_CP065832.1_103392_103533_pos,100.0,417,0,0,1,417,1,417,0.0,831.0,417,417,100.0,100.0
CDS_CP065832.1_103392_103533_pos,CDS_CP065832.1_103547_104244_neg,100.0,417,0,0,1,417,1,417,0.0,831.0,417,417,100.0,100.0
CDS_CP065831.1_737010_738282_pos,CDS_CP065831.1_3245042_3246314_neg,92.90799999999999,423,30,0,1,423,1,423,0.0,812.0,423,423,100.0,100.0
CDS_CP065831.1_3245042_3246314_neg,CDS_CP065831.1_3473885_3475157_neg,92.90799999999999,423,30,0,1,423,1,423,0.0,812.0,423,423,100.0,100.0
CDS_CP065831.1_1547333_1548530_neg,CDS_CP065831.1_1549535_1549787_neg,100.0,398,0,0,1,398,1,398,0.0,811.0,398,398,100.0,100.0
CDS_CP065831.1_1547333_1548530_neg,CDS_CP065831.1_1548976_1549310_pos,100.0,398,0,0,1,398,1,398,0.0,811.0,398,398,100.0,100.0
CDS_CP065831.1_1548976_1549310_pos,CDS_CP065831.1_1549535_1549787_neg,100.0,398,0,0,1,398,1,398,0.0,811.0,398,398,100.0,100.0
CDS_CP065831.1_2264633_2265818_neg,CDS_CP065831.1_2266106_2266199_neg,100.0,394,0,0,1,394,1,394,0.0,798.0,394,394,100.0,100.0
CDS_CP065831.1_422912_424097_pos,CDS_CP065831.1_5221794_5222979_neg,100.0,394,0,0,1,394,1,394,0.0,797.0,394,394,100.0,100.0
CDS_CP065831.1_3234343_3235657_neg,CDS_CP065831.1_3463342_3464656_neg,87.185,437,56,0,1,437,1,437,0.0,795.0,437,437,100.0,100.0
CDS_CP065831.1_2127263_2128619_pos,CDS_CP065831.1_2130671_2132027_pos,87.14,451,58,0,1,451,1,451,0.0,793.0,451,451,100.0,100.0
CDS_CP065831.1_2124597_2125953_pos,CDS_CP065831.1_2130671_2132027_pos,87.583,451,56,0,1,451,1,451,0.0,784.0,451,451,100.0,100.0
CDS_CP065831.1_2317341_2318541_neg,CDS_CP065831.1_2318836_2319869_pos,100.0,399,0,0,1,399,1,399,0.0,779.0,399,399,100.0,100.0
CDS_CP065831.1_747511_748825_pos,CDS_CP065831.1_3234343_3235657_neg,87.185,437,56,0,1,437,1,437,0.0,774.0,437,437,100.0,100.0
CDS_CP065831.1_2862130_2863258_pos,CDS_CP065831.1_2863671_2864703_pos,100.0,375,0,0,1,375,1,375,0.0,767.0,375,375,100.0,100.0
CDS_CP065831.1_1925193_1926297_neg,CDS_CP065831.1_1926447_1926525_pos,100.0,367,0,0,1,367,1,367,0.0,754.0,367,367,100.0,100.0
CDS_CP065831.1_3233121_3234360_neg,CDS_CP065831.1_3462123_3463359_neg,93.204,412,27,1,1,412,1,411,0.0,754.0,412,411,100.0,100.24
CDS_CP065831.1_3500619_3501705_pos,CDS_CP065831.1_3501839_3502823_pos,100.0,361,0,0,1,361,1,361,0.0,752.0,361,361,100.0,100.0
CDS_CP065831.1_739048_740134_pos,CDS_CP065831.1_3472033_3473119_neg,100.0,361,0,0,1,361,1,361,0.0,723.0,361,361,100.0,100.0
CDS_CP065831.1_2714353_2715391_neg,CDS_CP065831.1_2715506_2715785_neg,100.0,345,0,0,1,345,1,345,0.0,716.0,345,345,100.0,100.0
CDS_CP065831.1_1533172_1534204_neg,CDS_CP065831.1_1534833_1536067_pos,100.0,343,0,0,1,343,1,343,0.0,708.0,343,343,100.0,100.0
CDS_CP065831.1_1533172_1534204_neg,CDS_CP065831.1_1534312_1534790_pos,100.0,343,0,0,1,343,1,343,0.0,708.0,343,343,100.0,100.0
CDS_CP065831.1_1534312_1534790_pos,CDS_CP065831.1_1534833_1536067_pos,100.0,343,0,0,1,343,1,343,0.0,708.0,343,343,100.0,100.0
CDS_CP065831.1_751039_752101_pos,CDS_CP065831.1_3460066_3461128_neg,100.0,353,0,0,1,353,1,353,0.0,699.0,353,353,100.0,100.0
CDS_CP065831.1_1875865_1876873_pos,CDS_CP065831.1_1876939_1877020_pos,100.0,335,0,0,1,335,1,335,0.0,699.0,335,335,100.0,100.0
CDS_CP065831.1_751039_752101_pos,CDS_CP065831.1_3231073_3232135_neg,99.71700000000001,353,1,0,1,353,1,353,0.0,698.0,353,353,100.0,100.0
CDS_CP065831.1_944353_945370_neg,CDS_CP065831.1_945463_945728_pos,100.0,338,0,0,1,338,1,338,0.0,698.0,338,338,100.0,100.0
CDS_CP065831.1_3231073_3232135_neg,CDS_CP065831.1_3460066_3461128_neg,99.71700000000001,353,1,0,1,353,1,353,0.0,698.0,353,353,100.0,100.0
CDS_CP065831.1_1522512_1523481_pos,CDS_CP065831.1_1523514_1523676_pos,100.0,322,0,0,1,322,1,322,0.0,670.0,322,322,100.0,100.0
