,rec_id,locus_tag,protein_id,gene,start,end,strand,pseudo,product,db_xref,EC_number,old_locus_tag,inference,dup_id
CDS_CP065831.1_217584_218948_neg,CP065831.1,I8N76_01070,QPV97643.1,,217584,218948,neg,,IS3-like element ISKpn1 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076611151.1,19
CDS_CP065831.1_3550109_3551321_neg,CP065831.1,I8N76_17770,QPV95783.1,dpaL,3550109,3551321,neg,,diaminopropionate ammonia-lyase,,4.3.1.15,,COORDINATES: similar to AA sequence:RefSeq:WP_004179185.1,27
CDS_CP065831.1_1525003_1525288_pos,CP065831.1,I8N76_07610,QPV98857.1,,1525003,1525288,pos,,IS3 family transposase,,,,COORDINATES: protein motif:HMM:NF013677.1,123
CDS_CP065831.1_742236_742887_pos,CP065831.1,I8N76_03785,QPV98155.1,,742236,742887,pos,,DUF1834 family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804750.1,75
CDS_CP065831.1_3257889_3258123_neg,CP065831.1,I8N76_16185,QPV95499.1,,3257889,3258123,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804713.1,134
CDS_CP065831.1_741442_741799_pos,CP065831.1,I8N76_03775,QPV98153.1,,741442,741799,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804739.1,118
CDS_CP065831.1_1533172_1534204_neg,CP065831.1,I8N76_07665,QPV98862.1,,1533172,1534204,neg,,IS630 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_011787828.1,41
CDS_CP065831.1_3229665_3230409_neg,CP065831.1,I8N76_15980,QPV95459.1,,3229665,3230409,neg,,tail fiber protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804710.1,62
CDS_CP065831.1_1538277_1538760_pos,CP065831.1,I8N76_07695,QPV98865.1,,1538277,1538760,pos,,GNAT family N-acetyltransferase,,,,COORDINATES: similar to AA sequence:RefSeq:NP_462552.1,98
CDS_CP065831.1_3242799_3243195_neg,CP065831.1,I8N76_16060,QPV95474.1,,3242799,3243195,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804726.1,113
CDS_CP065831.1_3470725_3471634_neg,CP065831.1,I8N76_17345,QPV95704.1,,3470725,3471634,neg,,Mu-like prophage major head subunit gpT family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804735.1,49
CDS_CP065831.1_3255874_3256414_neg,CP065831.1,I8N76_16160,QPV95494.1,,3255874,3256414,neg,,HD family hydrolase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804718.1,87
CDS_CP065831.1_3241879_3242788_neg,CP065831.1,I8N76_16055,QPV95473.1,,3241879,3242788,neg,,Mu-like prophage major head subunit gpT family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804735.1,49
CDS_CP065831.1_3231073_3232135_neg,CP065831.1,I8N76_15990,QPV95461.1,,3231073,3232135,neg,,baseplate J/gp47 family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804712.1,42
CDS_CP065831.1_3481602_3482037_neg,CP065831.1,I8N76_17420,QPV95719.1,,3481602,3482037,neg,,hypothetical protein,,,,COORDINATES: ab initio prediction:GeneMarkS-2+,100
CDS_CP065832.1_73213_74134_pos,CP065832.1,I8N76_27255,QPW00356.1,,73213,74134,pos,,response regulator,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004181990.1,48
CDS_CP065831.1_3306570_3306756_neg,CP065831.1,I8N76_16480,QPV95549.1,,3306570,3306756,neg,,general stress protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005227107.1,148
CDS_CP065831.1_732708_733209_pos,CP065831.1,I8N76_03725,QPV98143.1,,732708,733209,pos,,DUF1804 family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804725.1,92
CDS_CP065831.1_882429_883722_pos,CP065831.1,I8N76_04505,QPV98287.1,,882429,883722,pos,,arsenic transporter,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228672.1,152
CDS_CP065832.1_162543_163128_neg,CP065832.1,I8N76_27725,QPW00255.1,traV,162543,163128,neg,,type IV conjugative transfer system lipoprotein TraV,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229714.1,83
CDS_CP065831.1_735449_737018_pos,CP065831.1,I8N76_03745,QPV98147.1,,735449,737018,pos,,DUF935 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804762.1,13
CDS_CP065831.1_3256410_3256635_neg,CP065831.1,I8N76_16165,QPV95495.1,,3256410,3256635,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804715.1,133
CDS_CP065831.1_3506643_3506832_neg,CP065831.1,I8N76_17565,QPW00195.1,,3506643,3506832,neg,,hypothetical protein,,,,COORDINATES: ab initio prediction:GeneMarkS-2+,143
CDS_CP065831.1_5111892_5112726_neg,CP065831.1,I8N76_25215,QPV97153.1,,5111892,5112726,neg,,ABC transporter permease subunit,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005224598.1,61
CDS_CP065831.1_3480638_3480887_neg,CP065831.1,I8N76_17410,QPV95717.1,,3480638,3480887,neg,,DUF2644 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804746.1,130
CDS_CP065831.1_2714353_2715391_neg,CP065831.1,I8N76_13500,QPV99916.1,,2714353,2715391,neg,,aldo/keto reductase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226955.1,40
CDS_CP065832.1_23072_26219_pos,CP065832.1,I8N76_26980,QPW00308.1,silA,23072,26219,pos,,Cu(+)/Ag(+) efflux RND transporter permease subunit SilA,,,,COORDINATES: similar to AA sequence:RefSeq:WP_011711636.1,153
CDS_CP065832.1_133558_138817_neg,CP065832.1,I8N76_27565,QPW00228.1,traI,133558,138817,neg,,conjugative transfer relaxase/helicase TraI,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229687.1,4
CDS_CP065831.1_3487032_3487251_neg,CP065831.1,I8N76_17480,QPV95730.1,,3487032,3487251,neg,,hypothetical protein,,,,COORDINATES: ab initio prediction:GeneMarkS-2+,140
CDS_CP065832.1_142583_143552_pos,CP065832.1,I8N76_27585,QPW00231.1,,142583,143552,pos,,IS5 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076611102.1,45
CDS_CP065831.1_3490230_3490494_neg,CP065831.1,I8N76_17495,QPV95733.1,,3490230,3490494,neg,,helix-turn-helix domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_011815758.1,128
CDS_CP065831.1_3459413_3460070_neg,CP065831.1,I8N76_17275,QPV95691.1,,3459413,3460070,neg,,DUF2313 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804756.1,72
CDS_CP065831.1_728770_729010_pos,CP065831.1,I8N76_03675,QPV98134.1,,728770,729010,pos,,hypothetical protein,,,,COORDINATES: ab initio prediction:GeneMarkS-2+,132
CDS_CP065831.1_41028_41352_neg,CP065831.1,I8N76_00210,QPV97486.1,,41028,41352,neg,,DNA-binding transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:NP_462677.1,120
CDS_CP065831.1_3462123_3463359_neg,CP065831.1,I8N76_17295,QPV95695.1,,3462123,3463359,neg,,phage tail protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804753.1,1
CDS_CP065831.1_743046_744465_pos,CP065831.1,I8N76_03795,QPV98157.1,,743046,744465,pos,,phage tail sheath subtilisin-like domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804728.1,17
CDS_CP065831.1_3476717_3478421_neg,CP065831.1,I8N76_17375,QPV95710.1,terL,3476717,3478421,neg,,phage terminase large subunit,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804761.1,11
CDS_CP065831.1_4781010_4781289_pos,CP065831.1,I8N76_23680,QPV96874.1,,4781010,4781289,pos,,BMC domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004249182.1,137
CDS_CP065832.1_193546_194827_neg,CP065832.1,I8N76_27935,QPW00293.1,,193546,194827,neg,,DUF262 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_016246209.1,23
CDS_CP065831.1_728990_729206_pos,CP065831.1,I8N76_03680,QPV99969.1,,728990,729206,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804757.1,139
CDS_CP065831.1_3483157_3483397_neg,CP065831.1,I8N76_17440,QPV95722.1,,3483157,3483397,neg,,hypothetical protein,,,,COORDINATES: ab initio prediction:GeneMarkS-2+,132
CDS_CP065831.1_3470368_3470725_neg,CP065831.1,I8N76_17340,QPV95703.1,,3470368,3470725,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804739.1,118
CDS_CP065831.1_3482961_3483177_neg,CP065831.1,I8N76_17435,QPW00115.1,,3482961,3483177,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804757.1,139
CDS_CP065831.1_753508_754135_pos,CP065831.1,I8N76_03850,QPV98167.1,,753508,754135,pos,,tail fiber assembly protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804748.1,80
CDS_CP065831.1_4841288_4842173_pos,CP065831.1,I8N76_23980,QPV96923.1,,4841288,4842173,pos,,RES domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004192285.1,52
CDS_CP065832.1_86125_86293_neg,CP065832.1,I8N76_27320,QPW00364.1,,86125,86293,neg,,integrase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004118231.1,146
CDS_CP065831.1_1523685_1524228_neg,CP065831.1,I8N76_07600,QPV98856.1,,1523685,1524228,neg,,AAA family ATPase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_008786891.1,85
CDS_CP065831.1_1528250_1528649_neg,CP065831.1,I8N76_07630,QPV98858.1,,1528250,1528649,neg,,hypothetical protein,,,,COORDINATES: ab initio prediction:GeneMarkS-2+,110
CDS_CP065831.1_3471645_3472041_neg,CP065831.1,I8N76_17350,QPV95705.1,,3471645,3472041,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804726.1,113
CDS_CP065831.1_1547333_1548530_neg,CP065831.1,I8N76_07740,QPV98874.1,,1547333,1548530,neg,,HD domain-containing protein,,,,COORDINATES: protein motif:HMM:NF014069.1,30
CDS_CP065831.1_4744249_4744690_neg,CP065831.1,I8N76_23470,QPV96835.1,hpaR,4744249,4744690,neg,,homoprotocatechuate degradation operon regulator HpaR,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005224937.1,102
CDS_CP065831.1_732392_732707_pos,CP065831.1,I8N76_03720,QPV98142.1,,732392,732707,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804754.1,121
CDS_CP065831.1_740533_741442_pos,CP065831.1,I8N76_03770,QPV98152.1,,740533,741442,pos,,Mu-like prophage major head subunit gpT family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804735.1,49
CDS_CP065831.1_1513847_1514330_neg,CP065831.1,I8N76_07550,QPV98849.1,,1513847,1514330,neg,,WbuC family cupin fold metalloprotein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005228100.1,94
CDS_CP065831.1_3261750_3262476_pos,CP065831.1,I8N76_16210,QPW00100.1,,3261750,3262476,pos,,helix-turn-helix transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:WP_002442875.1,63
CDS_CP065831.1_3479460_3479775_neg,CP065831.1,I8N76_17395,QPV95714.1,,3479460,3479775,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804754.1,121
CDS_CP065831.1_3486590_3486782_neg,CP065831.1,I8N76_17470,QPV95728.1,,3486590,3486782,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804717.1,144
CDS_CP065831.1_3224298_3224940_pos,CP065831.1,I8N76_15955,QPV95455.1,pncA,3224298,3224940,pos,,bifunctional nicotinamidase/pyrazinamidase,,3.5.1.-,,COORDINATES: similar to AA sequence:RefSeq:YP_005226394.1,76
CDS_CP065831.1_730130_730565_pos,CP065831.1,I8N76_03695,QPV98137.1,,730130,730565,pos,,hypothetical protein,,,,COORDINATES: ab initio prediction:GeneMarkS-2+,100
CDS_CP065831.1_2667566_2668930_neg,CP065831.1,I8N76_13270,QPV99874.1,,2667566,2668930,neg,,IS3-like element ISKpn1 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076611151.1,19
CDS_CP065831.1_732150_732396_pos,CP065831.1,I8N76_03715,QPV98141.1,,732150,732396,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804737.1,135
CDS_CP065831.1_3464655_3466806_neg,CP065831.1,I8N76_17305,QPV95697.1,,3464655,3466806,neg,,phage tail tape measure protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804763.1,5
CDS_CP065831.1_3319263_3319698_neg,CP065831.1,I8N76_16555,QPW00194.1,,3319263,3319698,neg,,hypothetical protein,,,,COORDINATES: ab initio prediction:GeneMarkS-2+,103
CDS_CP065831.1_3240383_3241043_neg,CP065831.1,I8N76_16040,QPV95470.1,,3240383,3241043,neg,,DUF1834 family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804750.1,75
CDS_CP065831.1_4780713_4780998_pos,CP065831.1,I8N76_23675,QPV96873.1,,4780713,4780998,pos,,BMC domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_002442227.1,137
CDS_CP065831.1_3469280_3469931_neg,CP065831.1,I8N76_17330,QPV95701.1,,3469280,3469931,neg,,DUF1834 family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804750.1,75
CDS_CP065831.1_4811902_4815052_pos,CP065831.1,I8N76_23820,QPV96897.1,,4811902,4815052,pos,,CusA/CzcA family heavy metal efflux RND transporter,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005224881.1,153
CDS_CP065831.1_2855371_2855641_pos,CP065831.1,I8N76_14245,QPV95136.1,,2855371,2855641,pos,,DUF1161 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226793.1,125
CDS_CP065832.1_4917_5886_pos,CP065832.1,I8N76_26905,QPW00299.1,,4917,5886,pos,,IS5 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076611102.1,45
CDS_CP065831.1_724916_725135_pos,CP065831.1,I8N76_03635,QPV98126.1,,724916,725135,pos,,hypothetical protein,,,,COORDINATES: ab initio prediction:GeneMarkS-2+,140
CDS_CP065831.1_754127_756119_pos,CP065831.1,I8N76_03855,QPV98168.1,,754127,756119,pos,,right-handed parallel beta-helix repeat-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004144712.1,7
CDS_CP065831.1_3238399_3238774_neg,CP065831.1,I8N76_16025,QPV95467.1,,3238399,3238774,neg,,phage tail protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804747.1,114
CDS_CP065831.1_3461558_3462140_neg,CP065831.1,I8N76_17290,QPV95694.1,,3461558,3462140,neg,,phage baseplate assembly protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804720.1,82
CDS_CP065831.1_739048_740134_pos,CP065831.1,I8N76_03760,QPV98150.1,,739048,740134,pos,,phage protease,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005276848.1,39
