,rec_id,locus_tag,protein_id,gene,start,end,strand,pseudo,product,db_xref,EC_number,old_locus_tag,inference
CDS_CP065825.1_0_1404_pos,CP065825.1,I8N74_00005,QPV92147.1,dnaA,0,1404,pos,,chromosomal replication initiator protein DnaA,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229578.1
CDS_CP065825.1_1408_2509_pos,CP065825.1,I8N74_00010,QPV92148.1,dnaN,1408,2509,pos,,DNA polymerase III subunit beta,,2.7.7.7,,COORDINATES: similar to AA sequence:RefSeq:WP_006177590.1
CDS_CP065825.1_2716_3790_pos,CP065825.1,I8N74_00015,QPV92149.1,recF,2716,3790,pos,,DNA replication/repair protein RecF,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005121479.1
CDS_CP065825.1_3818_6233_pos,CP065825.1,I8N74_00020,QPV92150.1,gyrB,3818,6233,pos,,DNA topoisomerase (ATP-hydrolyzing) subunit B,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005121480.1
CDS_CP065825.1_6434_7247_pos,CP065825.1,I8N74_00025,QPV92151.1,yidA,6434,7247,pos,,sugar-phosphatase,,3.1.3.23,,COORDINATES: similar to AA sequence:RefSeq:YP_005229574.1
CDS_CP065825.1_7396_8479_pos,CP065825.1,I8N74_00030,QPV92152.1,,7396,8479,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229573.1
CDS_CP065825.1_8475_9609_pos,CP065825.1,I8N74_00035,QPV92153.1,,8475,9609,pos,,BamA/TamA family outer membrane protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229572.1
CDS_CP065825.1_9838_10528_pos,CP065825.1,I8N74_00040,QPV92154.1,dgoR,9838,10528,pos,,D-galactonate utilization transcriptional regulator DgoR,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229571.1
CDS_CP065825.1_10524_11403_pos,CP065825.1,I8N74_00045,QPV92155.1,,10524,11403,pos,,2-dehydro-3-deoxygalactonokinase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229570.1
CDS_CP065825.1_11386_12004_pos,CP065825.1,I8N74_00050,QPV92156.1,,11386,12004,pos,,2-dehydro-3-deoxy-6-phosphogalactonate aldolase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229569.1
CDS_CP065825.1_12000_13149_pos,CP065825.1,I8N74_00055,QPV92157.1,dgoD,12000,13149,pos,,galactonate dehydratase,,4.2.1.6,,COORDINATES: similar to AA sequence:RefSeq:WP_020077623.1
CDS_CP065825.1_13326_14664_pos,CP065825.1,I8N74_00060,QPV92158.1,,13326,14664,pos,,MFS transporter,,,,COORDINATES: similar to AA sequence:RefSeq:NP_462727.1
CDS_CP065825.1_14715_15942_pos,CP065825.1,I8N74_00065,QPV92159.1,,14715,15942,pos,,DUF3748 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229566.1
CDS_CP065825.1_15943_16276_neg,CP065825.1,I8N74_00070,QPV92160.1,,15943,16276,neg,,YceK/YidQ family lipoprotein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229565.1
CDS_CP065825.1_16590_17004_pos,CP065825.1,I8N74_00075,QPV92161.1,ibpA,16590,17004,pos,,heat shock chaperone IbpA,,,,COORDINATES: similar to AA sequence:RefSeq:WP_006687722.1
CDS_CP065825.1_17120_17549_pos,CP065825.1,I8N74_00080,QPV92162.1,ibpB,17120,17549,pos,,heat shock chaperone IbpB,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229563.1
CDS_CP065825.1_17685_18510_pos,CP065825.1,I8N74_00085,QPV92163.1,dinD,17685,18510,pos,,DNA damage-inducible protein D,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229562.1
CDS_CP065825.1_18611_20273_pos,CP065825.1,I8N74_00090,QPV92164.1,,18611,20273,pos,,putative transporter,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229561.1
CDS_CP065825.1_20264_20987_neg,CP065825.1,I8N74_00095,QPV92165.1,,20264,20987,neg,,GntR family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229560.1
CDS_CP065825.1_21285_22908_pos,CP065825.1,I8N74_00100,QPV92166.1,,21285,22908,pos,,PTS transporter subunit EIIC,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229559.1
CDS_CP065825.1_22904_24227_pos,CP065825.1,I8N74_00105,QPV92167.1,,22904,24227,pos,,6-phospho-alpha-glucosidase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229558.1
CDS_CP065825.1_24328_24676_pos,CP065825.1,I8N74_00110,QPV92168.1,,24328,24676,pos,,DUF202 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229557.1
CDS_CP065825.1_24665_25028_pos,CP065825.1,I8N74_00115,QPV92169.1,,24665,25028,pos,,DUF202 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229556.1
CDS_CP065825.1_25102_25525_pos,CP065825.1,I8N74_00120,QPV94471.1,,25102,25525,pos,,regulator,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229555.1
CDS_CP065825.1_25528_26857_neg,CP065825.1,I8N74_00125,QPV94472.1,dsdA,25528,26857,neg,,D-serine ammonia-lyase,,4.3.1.18,,COORDINATES: similar to AA sequence:RefSeq:YP_005229554.1
CDS_CP065825.1_26874_28212_neg,CP065825.1,I8N74_00130,QPV92170.1,dsdX,26874,28212,neg,,D-serine transporter DsdX,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229553.1
CDS_CP065825.1_28303_28450_pos,CP065825.1,I8N74_00135,QPV92171.1,,28303,28450,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020802513.1
CDS_CP065825.1_28437_29361_pos,CP065825.1,I8N74_00140,QPV92172.1,dsdC,28437,29361,pos,,DNA-binding transcriptional regulator DsdC,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229551.1
CDS_CP065825.1_29520_30705_neg,CP065825.1,I8N74_00145,QPV92173.1,emrD,29520,30705,neg,,multidrug efflux MFS transporter EmrD,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229550.1
CDS_CP065825.1_30880_31714_neg,CP065825.1,I8N74_00150,QPV94473.1,,30880,31714,neg,,EamA family transporter,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229549.1
CDS_CP065825.1_31782_32229_neg,CP065825.1,I8N74_00155,QPV92174.1,,31782,32229,neg,,GNAT family N-acetyltransferase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229548.1
CDS_CP065825.1_32319_32439_neg,CP065825.1,I8N74_00160,QPV92175.1,tisB,32319,32439,neg,,type I toxin-antitoxin system toxin TisB,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229547.1
CDS_CP065825.1_32891_33059_neg,CP065825.1,I8N74_00165,QPV92176.1,,32891,33059,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229546.1
CDS_CP065825.1_33071_33167_pos,CP065825.1,I8N74_00170,QPV92177.1,ivbL,33071,33167,pos,,ilvB operon leader peptide IvbL,,,,COORDINATES: similar to AA sequence:RefSeq:WP_002923286.1
CDS_CP065825.1_33271_34960_pos,CP065825.1,I8N74_00175,QPV92178.1,ilvB,33271,34960,pos,,acetolactate synthase large subunit,,,,COORDINATES: similar to AA sequence:RefSeq:NP_462695.1
CDS_CP065825.1_34963_35251_pos,CP065825.1,I8N74_00180,QPV92179.1,ilvN,34963,35251,pos,,acetolactate synthase small subunit,,2.2.1.6,,COORDINATES: similar to AA sequence:RefSeq:YP_005229544.1
CDS_CP065825.1_35401_35995_pos,CP065825.1,I8N74_00185,QPV92180.1,uhpA,35401,35995,pos,,transcriptional regulator UhpA,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229543.1
CDS_CP065825.1_36012_37494_pos,CP065825.1,I8N74_00190,QPV94474.1,uhpB,36012,37494,pos,,signal transduction histidine-protein kinase/phosphatase UhpB,,2.7.13.3,,COORDINATES: similar to AA sequence:RefSeq:YP_005229542.1
CDS_CP065825.1_37505_38834_pos,CP065825.1,I8N74_00195,QPV92181.1,,37505,38834,pos,,MFS transporter,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229541.1
CDS_CP065825.1_38979_40371_pos,CP065825.1,I8N74_00200,QPV92182.1,uhpT,38979,40371,pos,,hexose-6-phosphate:phosphate antiporter,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229540.1
CDS_CP065825.1_40507_40960_pos,CP065825.1,I8N74_00205,QPV92183.1,,40507,40960,pos,,DUF1198 family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005229539.1
