,locus_tag,protein_id,gene,start,end,strand,pseudo,product,db_xref,EC_number,old_locus_tag,inference
CDS_CP060013.1_648_2046_pos,H5028_00005,QPO03256.1,dnaA,648,2046,pos,,chromosomal replication initiator protein DnaA,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004996698.1
CDS_CP060013.1_2143_3292_pos,H5028_00010,QPO03257.1,,2143,3292,pos,,DNA polymerase III subunit beta,,2.7.7.7,,COORDINATES: similar to AA sequence:RefSeq:WP_010116376.1
CDS_CP060013.1_3306_4389_pos,H5028_00015,QPO03258.1,recF,3306,4389,pos,,DNA replication/repair protein RecF,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004996701.1
CDS_CP060013.1_4441_6910_pos,H5028_00020,QPO03259.1,gyrB,4441,6910,pos,,DNA topoisomerase (ATP-hydrolyzing) subunit B,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004996702.1
CDS_CP060013.1_6947_7340_pos,H5028_00025,QPO03260.1,cybC,6947,7340,pos,,cytochrome b562,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004996703.1
CDS_CP060013.1_7425_7983_neg,H5028_00030,QPO03261.1,,7425,7983,neg,,VTT domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001009196.1
CDS_CP060013.1_8233_10165_neg,H5028_00035,QPO03262.1,,8233,10165,neg,,ATP-binding cassette domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_006581465.1
CDS_CP060013.1_10417_11422_pos,H5028_00040,QPO03263.1,,10417,11422,pos,,RND transporter,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004996706.1
CDS_CP060013.1_11677_12685_pos,H5028_00045,QPO03264.1,,11677,12685,pos,,RND transporter,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004745104.1
CDS_CP060013.1_13027_14032_pos,H5028_00050,QPO03265.1,,13027,14032,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004996709.1
CDS_CP060013.1_14156_14492_pos,H5028_00055,QPO03266.1,erpA,14156,14492,pos,,iron-sulfur cluster insertion protein ErpA,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004996710.1
CDS_CP060013.1_14549_15395_neg,H5028_00060,QPO03267.1,,14549,15395,neg,,alpha/beta fold hydrolase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000366412.1
CDS_CP060013.1_15522_16650_neg,H5028_00065,QPO03268.1,,15522,16650,neg,,anhydro-N-acetylmuramic acid kinase,,2.7.1.170,,COORDINATES: similar to AA sequence:RefSeq:WP_019456687.1
CDS_CP060013.1_16711_17944_pos,H5028_00070,QPO03269.1,,16711,17944,pos,,tyrosine--tRNA ligase,,6.1.1.1,,COORDINATES: similar to AA sequence:RefSeq:WP_020752654.1
CDS_CP060013.1_24321_24921_pos,H5028_00100,QPO03270.1,,24321,24921,pos,,glutathione S-transferase family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000587881.1
CDS_CP060013.1_24978_25674_neg,H5028_00105,QPO03271.1,,24978,25674,neg,,TIGR04219 family outer membrane beta-barrel protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001985341.1
CDS_CP060013.1_26301_27780_pos,H5028_00110,QPO03272.1,,26301,27780,pos,,sodium-dependent transporter,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997199.1
CDS_CP060013.1_27792_27936_pos,H5028_00115,QPO03273.1,,27792,27936,pos,,methionine/alanine import family NSS transporter small subunit,,,,COORDINATES: protein motif:HMM:NF028261.1
CDS_CP060013.1_27978_29283_neg,H5028_00120,QPO03274.1,rsmB,27978,29283,neg,,16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB,,2.1.1.176,,COORDINATES: similar to AA sequence:RefSeq:YP_004997197.1
CDS_CP060013.1_29279_30242_neg,H5028_00125,QPO03275.1,fmt,29279,30242,neg,,methionyl-tRNA formyltransferase,,2.1.2.9,,COORDINATES: similar to AA sequence:RefSeq:YP_004997196.1
